동,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
염창동,9,43,34,11882,216,1015,49
등촌1동,16,109,58,4633,143,1382,43
등촌2동,60,352,79,2717,472,3291,38
등촌3동,0,0,6,13287,0,211,14
화곡본동,120,456,154,1064,630,10103,78
화곡2동,54,488,119,338,96,4930,68
화곡3동,24,370,84,3463,108,2580,36
화곡4동,60,587,184,694,179,5270,79
화곡6동,44,391,125,3117,692,3641,75
화곡8동,71,448,133,734,329,7273,47
가양1동,14,42,28,6733,359,713,32
가양2동,0,0,0,7082,0,0,0
가양3동,0,0,0,7454,0,0,0
발산1동,8,184,50,9143,470,2389,40
공항동,152,822,355,3044,133,3319,63
방화1동,112,628,176,10024,144,2499,90
방화2동,338,737,143,3922,196,2086,110
방화3동,0,94,20,8921,90,556,14
화곡1동,118,831,291,5986,213,11128,187
우장산동,27,296,108,9529,324,3040,71
