동,10-60세_생활,10-60세_주민,승하차수,단독주택,다가구주택,아파트,연립주택,다세대주택,학교시설,오피스가,주택상업지,주택오피스가,복합상업지,중고거래횟수
가양1동,38409.806794196425,27360.0,405527.0,14,42,6733,359,713,4,14,10,1,8,1404
가양2동,9284.112080357145,7569.0,0.0,0,0,7082,0,0,3,1,2,1,1,852
가양3동,7418.582583035714,9059.0,0.0,0,0,7454,0,0,4,2,6,0,0,496
공항동,24540.87509747024,20919.0,867366.0,152,822,3044,133,3319,5,1,14,4,7,1633
등촌1동,17957.37683095238,18796.0,303483.0,16,109,4633,143,1382,1,7,9,4,10,1342
등촌2동,11257.435035416664,14167.0,0.0,60,352,2717,472,3291,6,3,9,4,5,486
등촌3동,28447.025940029765,19054.0,861457.0,0,0,13287,0,211,8,8,2,1,11,1060
발산1동,24244.89834910714,26019.0,1476582.0,8,184,9143,470,2389,8,3,11,5,2,2915
방화1동,22510.09395044643,29015.0,291037.0,112,628,10024,144,2499,5,5,24,13,9,2440
방화2동,16656.265053869047,15136.0,1674322.0,338,737,3922,196,2086,3,5,21,13,9,695
방화3동,11228.249002232144,13991.0,280825.0,0,94,8921,90,556,5,2,5,0,1,919
염창동,23258.27945997024,30614.0,0.0,9,43,11882,216,1015,5,13,12,3,7,1973
우장산동,23900.48941324405,30636.0,0.0,27,296,9529,324,3040,3,2,8,4,10,1286
화곡1동,34052.701927083326,37068.0,2453601.0,118,831,5986,213,11128,3,3,39,14,15,2418
화곡2동,9085.020372619048,12457.0,0.0,54,488,338,96,4930,1,4,8,4,0,920
화곡3동,13523.452655505953,14412.0,0.0,24,370,3463,108,2580,0,3,9,5,5,1322
화곡4동,11698.387465029762,13766.0,0.0,60,587,694,179,5270,3,0,21,2,5,775
화곡6동,14830.287410267856,17753.0,0.0,44,391,3117,692,3641,3,6,9,8,11,1041
화곡8동,20148.22168645833,16799.0,0.0,71,448,734,329,7273,0,0,5,0,1,1729
화곡본동,20791.884573511907,24881.0,0.0,120,456,1064,630,10103,2,2,17,5,4,2100
